chr;x0;x1;y1
chr1;1;29009422.6;5.18122562658973
chr1;29009422.6;58018844.2;2.06858826221433
chr1;58018844.2;87028265.8;7.72666825095657
chr1;87028265.8;116037687.4;4.73355596582405
chr1;116037687.4;145047109;3.82378394335974
chr1;145047109;174056530.6;8.43823964840267
chr1;174056530.6;203065952.2;7.99921268813778
chr1;203065952.2;232075373.8;7.00292913126759
chr1;232075373.8;261084795.4;0.507710017100908
chr1;261084795.4;290094217;4.17854428002611
chr2;1;28506808.1;1.68230404474307
chr2;28506808.1;57013615.2;1.16146483768243
chr2;57013615.2;85520422.3;3.82292580690701
chr2;85520422.3;114027229.4;1.91319750119001
chr2;114027229.4;142534036.5;2.25603534607217
chr2;142534036.5;171040843.6;4.38954923918936
chr2;171040843.6;199547650.7;4.55869530527852
chr2;199547650.7;228054457.8;8.24781623238232
chr2;228054457.8;256561264.9;1.92563738662284
chr2;256561264.9;285068072;4.03470660739113
chr3;1;18374054;1.01177834447008
chr3;18374054;36748107;8.58597590681166
chr3;36748107;55122160;3.20032624967862
chr3;55122160;73496213;3.41159369358793
chr3;73496213;91870266;2.781687251525
chr3;91870266;110244319;6.91439590605441
chr3;110244319;128618372;0.941091073933057
chr3;128618372;146992425;5.71675992817618
chr3;146992425;165366478;1.61615312243812
chr3;165366478;183740531;0.66744461688213
chr4;1;24834385;4.33460108328145
chr4;24834385;49668769;0.860110510932282
chr4;49668769;74503153;7.59127850267105
chr4;74503153;99337537;2.36095413020812
chr4;99337537;124171921;3.59071853917558
chr4;124171921;149006305;2.24249054209795
chr4;149006305;173840689;7.38299481484573
chr4;173840689;198675073;8.30779231355991
chr4;198675073;223509457;8.05395239288919
chr4;223509457;248343841;1.12478698091581
chr5;1;17718033.8;0.278358252905309
chr5;17718033.8;35436066.6;1.87952467161231
chr5;35436066.6;53154099.4;8.43492368753068
chr5;53154099.4;70872132.2;0.3010522126453
chr5;70872132.2;88590165;6.05452579446137
chr5;88590165;106308197.8;5.06324732594658
chr5;106308197.8;124026230.6;7.27928231565747
chr5;124026230.6;141744263.4;5.18184657027014
chr5;141744263.4;159462296.2;2.55364331288729
chr5;159462296.2;177180329;0.524952681432478
chr6;1;15689751.8;0.598594032623805
chr6;15689751.8;31379502.6;7.86722280622926
chr6;31379502.6;47069253.4;1.26162620885298
chr6;47069253.4;62759004.2;8.65636423537508
chr6;62759004.2;78448755;7.13714364340995
chr6;78448755;94138505.8;7.24790908880532
chr6;94138505.8;109828256.6;7.75628036360722
chr6;109828256.6;125518007.4;1.27513712206855
chr6;125518007.4;141207758.2;3.96313696985599
chr6;141207758.2;156897509;7.19907441982068
chr7;1;14350189.7;3.12402029202785
chr7;14350189.7;28700378.4;7.99848864816595
chr7;28700378.4;43050567.1;7.17686240931507
