chr;x0;x1;y1
chr1;1e+07;2e+07;0.811987364925318
chr1;2e+07;3e+07;0.608467453689192
chr1;3e+07;4e+07;0.6347405943966
chr1;4e+07;5e+07;0.543887183549113
chr1;5e+07;6e+07;0.530314700819753
chr1;6e+07;7e+07;0.532960356686803
chr1;7e+07;8e+07;0.550490172050102
chr1;8e+07;9e+07;0.655125087634402
chr1;9e+07;1e+08;0.576976331783168
chr1;1e+08;1.1e+08;0.733217806032481
chr1;1.1e+08;1.2e+08;0.801414742219663
chr1;1.2e+08;1.3e+08;0.614718103816724
chr1;1.3e+08;1.4e+08;0.441794060624316
chr1;1.4e+08;1.5e+08;0.707879371111896
chr1;1.5e+08;1.6e+08;0.843283618993452
chr1;1.6e+08;1.7e+08;0.557706288016779
chr1;1.7e+08;1.8e+08;0.509470146574344
chr1;1.8e+08;1.9e+08;0.639377674956383
chr1;1.9e+08;2e+08;0.581605893806594
chr1;2e+08;2.1e+08;0.489534201257029
chr1;2.1e+08;2.2e+08;0.760248152165935
chr1;2.2e+08;2.3e+08;0.701898891916662
chr1;2.3e+08;2.4e+08;0.442097076778392
chr3;5e+06;1e+07;0.647726928036185
chr3;1e+07;1.5e+07;0.48097436072854
chr3;1.5e+07;2e+07;0.592999375617356
chr3;2e+07;2.5e+07;0.536025123098518
chr3;2.5e+07;3e+07;0.679168619390794
chr3;3e+07;3.5e+07;0.537485105418116
chr3;3.5e+07;4e+07;0.697690090026231
chr3;4e+07;4.5e+07;0.62182513652454
chr3;4.5e+07;5e+07;0.457523023975548
chr3;5e+07;5.5e+07;0.577548345225366
chr3;5.5e+07;6e+07;0.502338708504959
chr3;6e+07;6.5e+07;0.491341550762093
chr3;6.5e+07;7e+07;0.59874411613742
chr3;7e+07;7.5e+07;0.795834702316357
chr3;7.5e+07;8e+07;0.602397307164421
chr3;8e+07;8.5e+07;0.481593481797838
chr3;8.5e+07;9e+07;0.535243984943798
chr3;9e+07;9.5e+07;0.589045874031931
chr3;9.5e+07;1e+08;0.581544336162066
chr3;1e+08;1.05e+08;0.645817205880239
chr3;1.05e+08;1.1e+08;0.674316295573495
chr3;1.1e+08;1.15e+08;0.691434162130078
chr3;1.15e+08;1.2e+08;0.682746466600117
