chr;x;y
chr1;1e+07;0.69900300536317
chr1;2e+07;0.836034470390214
chr1;3e+07;0.120910064330816
chr1;4e+07;0.669035767579851
chr1;5e+07;0.520955757179049
chr1;6e+07;0.171968531015725
chr1;7e+07;0.467026687835815
chr1;8e+07;0.791360760059319
chr1;9e+07;0.225780524483272
chr1;1e+08;0.880020094701749
chr1;1.1e+08;0.29572826923674
chr1;1.2e+08;0.75522390036422
chr1;1.3e+08;0.70271991596051
chr1;1.4e+08;0.413636158136663
chr1;1.5e+08;0.266042998171364
chr1;1.6e+08;0.602499518196069
chr1;1.7e+08;0.297613421307601
chr1;1.8e+08;-0.167597426437636
chr1;1.9e+08;0.650121520580553
chr1;2e+08;0.270039728334203
chr1;2.1e+08;0.319740047721055
chr1;2.2e+08;0.796413908235764
chr1;2.3e+08;0.099480457544401
